timestamp,x,y,speed_kmh,acceleration,throttle,brake,steering_angle,gear
0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,4
0.1,3.0,0.0,108.0,0.0,0.0,0.0,0.0,4
0.2,6.0,0.0,108.0,0.0,0.0,0.0,0.0,4
0.3,9.0,0.0,108.0,0.0,0.0,0.0,0.0,4
0.4,12.0,0.0,108.0,0.0,0.0,0.0,0.0,4
0.5,15.0,0.0,108.0,0.0,0.0,0.0,0.0,4
0.6,18.0,0.0,108.0,0.0,0.0,0.0,0.0,4
0.7,21.0,0.0,108.0,0.0,0.0,0.0,0.0,4
0.8,24.0,0.0,108.0,0.0,0.0,0.0,0.0,4
0.9,27.0,0.0,108.0,0.0,0.0,0.0,0.0,4
1.0,30.0,0.0,108.0,0.0,0.0,0.0,0.0,4
1.1,33.0,0.0,108.0,0.0,0.0,0.0,0.0,4
1.2,36.0,0.0,108.0,0.0,0.0,0.0,0.0,4
1.3,39.0,0.0,108.0,0.0,0.0,0.0,0.0,4
1.4,42.0,0.0,108.0,0.0,0.0,0.0,0.0,4
1.5,45.0,0.0,108.0,0.0,0.0,0.0,0.0,4
1.6,48.0,0.0,108.0,0.0,0.0,0.0,0.0,4
1.7,51.0,0.0,108.0,0.0,0.0,0.0,0.0,4
1.8,54.0,0.0,108.0,0.0,0.0,0.0,0.0,4
1.9,57.0,0.0,108.0,0.0,0.0,0.0,0.0,4
2.0,60.0,0.0,108.0,0.0,0.0,0.0,0.0,4
2.1,63.0,0.0,108.0,0.0,0.0,0.0,0.0,4
2.2,66.0,0.0,108.0,0.0,0.0,0.0,0.0,4
2.3,69.0,0.0,108.0,0.0,0.0,0.0,0.0,4
2.4,72.0,0.0,108.0,0.0,0.0,0.0,0.0,4
2.5,75.0,0.0,108.0,0.0,0.0,0.0,0.0,4
2.6,78.0,0.0,108.0,0.0,0.0,0.0,0.0,4
2.7,81.0,0.0,108.0,0.0,0.0,0.0,0.0,4
2.8,84.0,0.0,108.0,0.0,0.0,0.0,0.0,4
2.9,87.0,0.0,108.0,0.0,0.0,0.0,0.0,4
3.0,90.0,0.0,108.0,0.0,0.0,0.0,0.0,4
3.1,93.0,0.0,108.0,0.0,0.0,0.0,0.0,4
3.2,96.0,0.0,108.0,0.0,0.0,0.0,0.0,4
3.3,99.0,0.0,108.0,0.0,0.0,0.0,0.0,4
3.4,102.0,0.0,108.0,0.0,0.0,0.0,0.0,4
3.5,105.0,0.0,108.0,0.0,0.0,0.0,0.0,4
3.6,108.0,0.0,108.0,0.0,0.0,0.0,0.0,4
3.7,111.0,0.0,108.0,0.0,0.0,0.0,0.0,4
3.8,114.0,0.0,108.0,0.0,0.0,0.0,0.0,4
3.9,117.0,0.0,108.0,0.0,0.0,0.0,0.0,4
4.0,120.0,0.0,108.0,0.0,0.0,0.0,0.0,4
4.1,123.0,0.0,108.0,0.0,0.0,0.0,0.0,4
4.2,126.0,0.0,108.0,0.0,0.0,0.0,0.0,4
4.3,129.0,0.0,108.0,0.0,0.0,0.0,0.0,4
4.4,132.0,0.0,108.0,0.0,0.0,0.0,0.0,4
4.5,135.0,0.0,108.0,0.0,0.0,0.0,0.0,4
4.6,138.0,0.0,108.0,0.0,0.0,0.0,0.0,4
4.7,141.0,0.0,108.0,0.0,0.0,0.0,0.0,4
4.8,144.0,0.0,108.0,0.0,0.0,0.0,0.0,4
4.9,147.0,0.0,108.0,0.0,0.0,0.0,0.0,4
5.0,150.0,0.0,108.0,0.0,0.0,0.0,0.0,4
5.1,153.0,0.0,108.0,0.0,0.0,0.0,0.0,4
5.2,156.0,0.0,108.0,0.0,0.0,0.0,0.0,4
5.3,159.0,0.0,108.0,0.0,0.0,0.0,0.0,4
5.4,162.0,0.0,108.0,0.0,0.0,0.0,0.0,4
5.5,165.0,0.0,108.0,0.0,0.0,0.0,0.0,4
5.6,168.0,0.0,108.0,0.0,0.0,0.0,0.0,4
5.7,171.0,0.0,108.0,0.0,0.0,0.0,0.0,4
5.8,174.0,0.0,108.0,0.0,0.0,0.0,0.0,4
5.9,176.9849,0.0,105.84,-2.0338,0.0,0.1695,0.0,3
6.0,179.8646,0.0,101.52,-2.1197,0.0,0.1766,0.0,3
6.1,182.6246,0.0,97.2,-2.2132,0.0,0.1844,0.0,3
6.2,185.2644,0.0,92.88,-2.3152,0.0,0.1929,0.0,3
6.3,187.7844,0.0,88.56,-2.4271,0.0,0.2023,0.0,3
6.4,190.1844,0.0,84.24,-2.5503,0.0,0.2125,0.0,3
6.5,192.4648,0.0,79.92,-2.6865,0.0,0.2239,0.0,3
6.6,194.6244,0.0,75.6,-2.8381,0.0,0.2365,0.0,3
6.7,196.6642,0.0,71.28,-3.0076,0.0,0.2506,0.0,2
6.8,198.5844,0.0,66.96,-3.1984,0.0,0.2665,0.0,2
6.9,200.386,0.0,62.64,-3.415,0.0,0.2846,5.4738,2
7.0,202.1247,0.0875,62.354,0.0,0.0,0.0,7.125,2
7.1,203.848,0.3259,62.354,0.0,0.0,0.0,7.125,2
7.2,205.5443,0.7124,62.354,0.0,0.0,0.0,7.125,2
7.3,207.2002,1.246,62.354,0.0,0.0,0.0,7.125,2
7.4,208.8041,1.92,62.354,0.0,0.0,0.0,7.125,2
7.5,210.3424,2.7326,62.354,0.0,0.0,0.0,7.125,2
7.6,211.8057,3.6738,62.354,0.0,0.0,0.0,7.125,2
7.7,213.1798,4.7409,62.354,0.0,0.0,0.0,7.125,2
7.8,214.4579,5.9213,62.354,0.0,0.0,0.0,7.125,2
7.9,215.6266,7.21,62.354,0.0,0.0,0.0,7.125,2
8.0,216.6806,8.5942,62.354,0.0,0.0,0.0,7.125,2
8.1,217.609,10.0656,62.354,0.0,0.0,0.0,7.125,2
8.2,218.407,11.6115,62.354,0.0,0.0,0.0,7.125,2
8.3,219.067,13.2212,62.354,0.0,0.0,0.0,7.125,2
8.4,219.5848,14.8821,62.354,0.0,0.0,0.0,7.125,2
8.5,219.9566,16.5817,62.354,0.0,0.0,0.0,7.125,2
8.6,220.1786,18.3072,62.354,0.0,0.0,0.0,7.125,2
8.7,220.251,20.0455,62.354,0.0,0.0,0.0,7.125,2
8.8,220.1704,21.7834,62.354,0.0,0.0,0.0,7.125,2
8.9,219.9412,23.508,62.354,0.0,0.0,0.0,7.125,2
9.0,219.5605,25.2056,62.354,0.0,0.0,0.0,7.125,2
9.1,219.0363,26.8646,62.354,0.0,0.0,0.0,7.125,2
9.2,218.3672,28.4706,62.354,0.0,0.0,0.0,7.125,2
9.3,217.5633,30.0135,62.354,0.0,0.0,0.0,7.125,2
9.4,216.6267,31.4796,62.354,0.0,0.0,0.0,7.125,2
9.5,215.5674,32.8597,62.354,0.0,0.0,0.0,7.125,2
9.6,214.3915,34.1418,62.354,0.0,0.0,0.0,7.125,2
9.7,213.1089,35.3174,62.354,0.0,0.0,0.0,7.125,2
9.8,211.729,36.3769,62.354,0.0,0.0,0.0,7.125,2
9.9,210.2621,37.3122,62.354,0.0,0.0,0.0,7.125,2
10.0,208.7197,38.1172,62.354,0.0,0.0,0.0,7.125,2
10.1,207.1128,38.784,62.354,0.0,0.0,0.0,7.125,2
10.2,205.4546,39.3102,62.354,0.0,0.0,0.0,7.125,2
10.3,203.7564,39.6883,62.354,0.0,0.0,0.0,7.125,2
10.4,202.0321,39.9199,62.354,0.0,0.0,0.0,7.125,2
10.5,200.2942,39.9979,62.602,0.6902,0.138,0.0,3.7038,2
10.6,198.5307,40.0007,64.402,1.403,0.2806,0.0,0.0,2
10.7,196.7164,40.0036,66.202,1.3645,0.2729,0.0,0.0,2
10.8,194.8524,40.0065,68.002,1.3282,0.2656,0.0,0.0,2
10.9,192.9386,40.0096,69.802,1.2937,0.2587,0.0,0.0,2
11.0,190.9748,40.0127,71.602,1.2609,0.2522,0.0,0.0,2
11.1,188.9608,40.0159,73.402,1.2298,0.246,0.0,0.0,3
11.2,186.8967,40.0192,75.202,1.2002,0.24,0.0,0.0,3
11.3,184.7827,40.0226,77.002,1.172,0.2344,0.0,0.0,3
11.4,182.6189,40.026,78.802,1.1451,0.229,0.0,0.0,3
11.5,180.4049,40.0295,80.602,1.1194,0.2239,0.0,0.0,3
11.6,178.141,40.0331,82.402,1.0948,0.219,0.0,0.0,3
11.7,175.827,40.0368,84.202,1.0713,0.2143,0.0,0.0,3
11.8,173.4632,40.0406,86.002,1.0488,0.2098,0.0,0.0,3
11.9,171.0493,40.0444,87.802,1.0272,0.2054,0.0,0.0,3
12.0,168.5853,40.0484,89.602,1.0065,0.2013,0.0,0.0,3
12.1,166.0714,40.0524,91.402,0.9866,0.1973,0.0,0.0,3
12.2,163.5075,40.0564,93.202,0.9674,0.1935,0.0,0.0,3
12.3,160.8934,40.0606,95.002,0.9491,0.1898,0.0,0.0,3
12.4,158.2294,40.0648,96.802,0.9313,0.1863,0.0,0.0,3
12.5,155.5157,40.0692,98.602,0.9143,0.1829,0.0,0.0,3
12.6,152.7515,40.0736,100.402,0.8978,0.1796,0.0,0.0,3
12.7,149.9377,40.0781,102.202,0.882,0.1764,0.0,0.0,3
12.8,147.0738,40.0826,104.002,0.8667,0.1733,0.0,0.0,3
12.9,144.1598,40.0873,105.802,0.8519,0.1704,0.0,0.0,3
13.0,141.1958,40.092,107.602,0.8376,0.1675,0.0,0.0,3
13.1,138.1972,40.0968,108.0,0.0,0.0,0.0,0.0,4
13.2,135.1972,40.1015,108.0,0.0,0.0,0.0,0.0,4
13.3,132.1972,40.1063,108.0,0.0,0.0,0.0,0.0,4
13.4,129.1972,40.1111,108.0,0.0,0.0,0.0,0.0,4
13.5,126.1977,40.1159,107.757,-0.6743,0.0,0.0562,0.0,3
13.6,123.2616,40.1205,103.555,-2.0784,0.0,0.1732,0.0,3
13.7,120.4449,40.125,99.235,-2.1681,0.0,0.1807,-0.5122,3
13.8,117.7059,40.1959,98.59,0.0,0.0,0.0,-2.8624,3
13.9,114.9765,40.416,98.59,0.0,0.0,0.0,-2.8624,3
14.0,112.2633,40.7858,98.59,0.0,0.0,0.0,-2.8624,3
14.1,109.5743,41.3028,98.59,0.0,0.0,0.0,-2.8624,3
14.2,106.9179,41.9671,98.59,0.0,0.0,0.0,-2.8624,3
14.3,104.3015,42.775,98.59,0.0,0.0,0.0,-2.8624,3
14.4,101.7336,43.7258,98.59,0.0,0.0,0.0,-2.8624,3
14.5,99.2212,44.8147,98.59,0.0,0.0,0.0,-2.8624,3
14.6,96.7727,46.0407,98.59,0.0,0.0,0.0,-2.8624,3
14.7,94.3944,47.3979,98.59,0.0,0.0,0.0,-2.8624,3
14.8,92.0946,48.884,98.59,0.0,0.0,0.0,-2.8624,3
14.9,89.879,50.4932,98.59,0.0,0.0,0.0,-2.8624,3
15.0,87.7553,52.2218,98.59,0.0,0.0,0.0,-2.8624,3
15.1,85.729,54.0636,98.59,0.0,0.0,0.0,-2.8624,3
15.2,83.807,56.0139,98.59,0.0,0.0,0.0,-2.8624,3
15.3,81.9943,58.0663,98.59,0.0,0.0,0.0,-2.8624,3
15.4,80.2969,60.215,98.59,0.0,0.0,0.0,-2.8624,3
15.5,78.7195,62.4533,98.59,0.0,0.0,0.0,-2.8624,3
15.6,77.2671,64.7746,98.59,0.0,0.0,0.0,-2.8624,3
15.7,75.944,67.1719,98.59,0.0,0.0,0.0,-2.8624,3
15.8,74.754,69.6381,98.59,0.0,0.0,0.0,-2.8624,3
15.9,73.7009,72.1658,98.59,0.0,0.0,0.0,-2.8624,3
16.0,72.7875,74.7472,98.59,0.0,0.0,0.0,-2.8624,3
16.1,72.0173,77.3749,98.59,0.0,0.0,0.0,-2.8624,3
16.2,71.3982,80.0074,95.346,-2.2558,0.0,0.188,-2.8624,3
16.3,70.9406,82.5546,91.026,-2.3619,0.0,0.1968,-2.8624,3
16.4,70.6271,85.0029,86.706,-2.4785,0.0,0.2065,-2.8624,3
16.5,70.4415,87.3438,82.386,-2.607,0.0,0.2172,-2.8624,3
16.6,70.3674,89.5706,78.066,-2.7495,0.0,0.2291,-2.8624,3
16.7,70.3253,91.7242,76.368,0.0,0.0,0.0,4.7636,3
16.8,70.1392,93.8643,76.368,0.0,0.0,0.0,4.7636,3
16.9,69.8005,95.9857,76.368,0.0,0.0,0.0,4.7636,3
17.0,69.3097,98.0771,76.368,0.0,0.0,0.0,4.7636,3
17.1,68.6711,100.1281,76.368,0.0,0.0,0.0,4.7636,3
17.2,67.8878,102.1284,76.368,0.0,0.0,0.0,4.7636,3
17.3,66.9635,104.0677,76.368,0.0,0.0,0.0,4.7636,3
17.4,65.9017,105.9351,76.368,0.0,0.0,0.0,4.7636,3
